rowid,kepid,koi_disposition,koi_pdisposition,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
7417,7622072,FALSE POSITIVE,FALSE POSITIVE,1,1,-0.5887714703146956,-0.5528090279671156,1.6622825350097552,-0.3151339537200297,1.8134629653815109,1.8827215682935516,0.11257771477158508,-0.2934685290483926,1.9046996684153241,0.35883908812486737,-0.7175621529672375,0.25045144885152276,0.7965672534559214,-0.13385961202942712,-0.49492467350801067,0
7418,7631194,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.764576881690387,-0.7116488347130899,-0.6077559465815585,-1.195575472263161,-0.713698238764698,0.021035562831915027,2.500358782927987,1.9868846047862816,-0.6493993112927561,-1.0990356356701145,-2.257723822769009,2.0779550772557336,1.2449963288731962,-0.14850370706765068,-1.7970564108975036,0
7419,7662209,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.3271839648053049,-0.7044781826879458,-1.0187320295107634,-0.632463574609016,-0.6746277076106827,-0.6729298662251356,-0.760039397276359,-0.7017840752256536,-0.7768006025394893,-1.0640709655478158,0.8578987589651016,-1.004277350149882,-1.9708439009654541,-0.10913987064127352,0.8271150802515361,0
7420,7670485,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.5225764956264757,-0.47337318981185017,1.1062560698702428,-0.2802147579294015,1.8134629653815109,1.4978586447553617,-0.36406188424619956,-0.6090346755560228,1.9046996684153241,0.23722284422121925,0.7427117583285403,-0.6606678733915469,-1.0567514481893456,-0.11767667989047322,0.11337582668809956,0
7421,7670617,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.009392630428465725,-0.5770128872820762,-0.9437893320354378,0.5977716456934169,1.8134629653815109,0.7983374517102272,-0.9213635692516093,-0.7161923214814211,1.9046996684153241,-1.044308325913473,1.155155534801392,-1.0885170928390222,-1.0451488026973317,-0.11129879880696956,0.9310791657395987,0
7422,8367298,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.6279206305141292,-0.6370304227001145,1.3069090985945016,2.197582896923115,-0.7253085938918469,0.09326049467700843,-0.07661154145393559,-0.4554875873883167,-0.4669347501004008,-0.3070098472476061,0.010716947831675622,-0.3104078906314376,0.0737256007871655,0.15717146137177382,0.17383720973789535,0
7423,8374499,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.6242209335835466,-0.5578313931148149,-0.6754461249463687,0.18396142413080657,1.8134629653815109,1.8781759432123917,-0.04727987382207192,-0.43270565367694613,1.9046996684153241,0.5807887332490252,0.5829362413165338,-0.4921883880132662,0.6022097686155532,0.1537206768207368,0.48499213226245186,0
7424,8378922,FALSE POSITIVE,FALSE POSITIVE,1,0,0.5772408679169109,-0.1266723635809046,-0.10007960884548184,1.5363717076307277,1.8134629653815109,2.1378447759736408,-0.8612336506062888,-0.7118777102220201,1.9046996684153241,-0.14282791797768113,0.17049246484368213,-0.4966220586811157,0.8912010014289328,0.17109072774131878,0.5329188383385087,0
7425,8379547,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.599247137795902,-0.701232197981308,0.2238662447575382,0.927136143642761,1.8134629653815109,0.48569946001713094,-0.5327189731294156,-0.661439020055172,1.9046996684153241,-1.044308325913473,1.1737340832911598,-1.2281777188762812,0.9303738931845456,0.15072357000674305,-0.6497648008306577,0
7426,8382339,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.6193514897740886,-0.7200392563816645,-1.4103680614785938,-0.6604446637743481,-0.5590059138133501,0.8816739115314888,2.500358782927987,1.9868846047862816,-0.6029734170248787,-1.3331469051846372,-2.257723822769009,2.0779550772557336,1.08539198145661,0.16323124018404794,-1.2905079943705609,0
7427,9328864,FALSE POSITIVE,FALSE POSITIVE,1,1,-0.769809274976733,-0.7112311790109204,-0.29106261208905365,-1.1363638771262004,-0.75464762406792,-0.6885870192824636,1.2447800853615227,1.9868846047862816,-0.67531143832599,-0.5107170557862167,0.26710091699047567,-0.5099230706846641,-1.5048158991433938,0.5890437739072616,-0.10856168914102703,0
7428,9334490,FALSE POSITIVE,FALSE POSITIVE,1,1,-0.1945724780630868,-0.14028287132561704,0.7218725570129277,-0.01230635968877454,1.2150178090170567,-0.4532246539690825,-0.7923042316714092,-0.7054795053703797,0.004881896296399575,-0.7554697466423086,0.8318887910794275,-0.9887595028124089,-0.816103517764771,0.5858930334199154,1.0623246069940329,0
7429,9344623,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.323706529315297,-0.4616588863799382,-0.08799207699462286,1.4410253941200424,1.8134629653815109,2.1378447759736408,-0.3376633833775223,-0.5985479096931959,1.9046996684153241,1.2238346228895647,0.1965024327293563,-0.07985701590326406,0.1258057770101775,0.5650288582502063,-0.3187018619360472,0
7430,9357275,FALSE POSITIVE,FALSE POSITIVE,1,0,-0.7400204422611908,-0.701929781015489,0.6251723022060559,-0.18498578447005468,1.8134629653815109,2.1378447759736408,2.464977458847051,1.9868846047862816,1.9046996684153241,2.340423762229934,-1.2266143815868826,2.0779550772557336,1.0662945117375946,0.5784616642905598,-1.5249801871734252,0
7431,9394920,FALSE POSITIVE,FALSE POSITIVE,0,0,-0.746482368474425,-0.6836333375372509,-0.04931197507187441,-1.199005412225363,-0.5366282791388246,-0.5880781980434875,-0.24086888019237215,1.9868846047862816,-0.524697199945318,0.09508385915883051,0.3116894333659176,-0.31262472596536206,-1.0135993021759997,0.5992558291787417,0.08314513516320297,0
7432,8524110,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.7650289137973787,-0.7125277770689061,-0.1605172680997767,-0.5066991093282762,-0.7717981901478577,-0.6961630610843964,1.7155533508529346,1.9868846047862816,-0.7508884755062556,0.5154200021508143,-0.3088340861923374,0.12187499948388753,1.7735774488710063,0.22290944881527622,-0.6364927899172875,0
7434,10164018,FALSE POSITIVE,FALSE POSITIVE,0,1,-0.5202522065544201,-0.719856512251571,0.4752869072554049,-0.400491319270618,-0.6371469761213807,-0.6527270880866479,-0.47698880462887466,-0.6468440366378359,-0.7411714278687928,-0.17475218200238876,0.9656543402057565,-0.9067365954571933,1.4804362416754757,0.9495803324813457,1.0372552530465564,0
