koi_fpflag_ss,koi_fpflag_co,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,koi_kepmag,label
0,0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093.0,337.68,166.7,5779.0,4.339,1.087,12.791,1
0,0,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516.0,16.72,141.1,5468.0,4.367,1.046,15.4,1
0,0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790.0,91.9,43.4,5592.0,4.582,0.787,15.317,1
0,0,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243.0,565.35,128.6,6174.0,4.417,1.103,15.506,1
0,0,2.816504904,170.9676846,0.105,2.50587,5385.612499999999,12.21,1219.0,521.13,255.76250000000002,5532.0,4.452,0.955,15.052,1
1,1,33.93373447,186.67608,0.812,12.28915,5385.612499999999,7.34,430.0,8.11,236.1,5040.0,4.628,0.705,15.716,0
0,0,3.689920099,170.36571,0.151,2.6557,426.7,1.89,1147.0,408.99,35.6,5880.0,4.518,0.917,15.242,1
0,0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104.0,351.23,71.1,5714.0,4.428,1.015,15.367,1
0,0,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806.0,99.68,37.9,5714.0,4.428,1.015,15.367,1
0,0,26.39432897,176.05459,0.602,3.573,1510.9,3.07,489.0,13.49,48.2,5129.0,4.595,0.763,15.234,1
0,0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785.0,89.61,88.4,5854.0,4.406,1.012,12.882,1
0,0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997.0,233.31,47.1,5779.0,4.339,1.087,12.791,1
1,0,7.442652004,169.9717797,0.137,2.3078,5385.612499999999,15.03,967.0,206.78,255.76250000000002,6108.0,4.469,0.956,15.27,0
0,0,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433.0,8.35,28.9,4196.5,4.661,0.615,15.095,1
