rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,label
1,10797460,K00752.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.4074256482259843,0.08623754727049773,-0.17862130232897794,-0.41755499772928917,-0.3156655963056122,-0.03554105135796947,-0.3934759169211378,-0.051462250883869146,-0.318478936680152,-0.3428650325216095,-0.34008113131604467,0.3621500475019585,-0.13500873551528406,-0.04406496208518049,1.215163502002785,0.7855062066810745,1
2,10797460,K00752.02,CONFIRMED,CANDIDATE,0,0,0,0,-0.03632779218871356,-0.036015351126115695,-0.056148360032297305,-0.19507599065857154,-0.312823789856481,-0.035375668705461494,-0.790869119567495,-0.05199912071123484,-0.3299061831497556,1.2219512980636034,-0.34008113131604467,0.3621500475019585,-0.13500873551528406,-0.04406496208518049,1.215163502002785,0.7855062066810745,1
3,10811496,K00753.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.3214361386586622,0.16715390824394302,0.05045876928504061,-0.5863059348123576,-0.20360406106906279,-0.03196066200367388,-0.5694643352359531,-0.05180726346587297,-0.2721985884782572,-0.3428650325216095,0.15241231017899373,0.5386746428876172,-0.14471884065519688,1.0246409090384667,1.2130737506628837,0.8487754216130041,0
4,10848459,K00754.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.47144496947366743,0.08271563408819178,0.13591148129658825,-0.4966811390694646,-0.23377548722281122,-0.026488527220690495,0.2900403916305963,-0.04638861494549387,0.21837310246182748,-0.3428650325216095,0.09301611622984336,0.5845251871436336,-0.15739135075304922,-1.392884619553122,1.2550468591690727,0.9632287205348085,0
5,10854555,K00755.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.4649312792616532,0.10233702539866892,-0.02413838647748305,-0.604641248915572,-0.31580274912651624,-0.035398880305813486,0.3025298922851961,-0.04617127417731316,-0.31265104098065416,-0.3428650325216095,0.37267319607375965,0.2956667583307366,-0.11542394718223953,-0.7141625269360123,1.2386527849112225,0.9006703956582947,1
6,10872983,K00756.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.39415869289115935,0.09632881837844785,-0.06950904464648062,-0.18251263917829538,-0.3057719404168803,-0.035065213550753524,-0.345788732603575,-0.051327397927705555,-0.2833972900184688,-0.3428650325216095,0.39123450668286913,0.40570806454517333,-0.1276027231204353,0.8731657902617885,1.2382277224876597,1.0464028570183566,1
7,10872983,K00756.02,CONFIRMED,CANDIDATE,0,0,0,0,-0.45164319329250446,0.12341838405056654,-0.0071591831136250395,-0.3913227198384727,-0.31489534606341524,-0.03539307740572549,0.02321924128232801,-0.049339301848242006,-0.31345094823352637,1.2219512980636034,0.39123450668286913,0.40570806454517333,-0.1276027231204353,0.8731657902617885,1.2382277224876597,1.0464028570183566,1
8,10872983,K00756.03,CONFIRMED,CANDIDATE,0,0,0,0,-0.46459266691170126,0.22358309704519638,-0.009107616286526779,-0.4934376406701568,-0.31993708375984675,-0.03573544851091745,0.25030107136596064,-0.04692383247462193,-0.34224760933692755,2.7867676286488163,0.39123450668286913,0.40570806454517333,-0.1276027231204353,0.8731657902617885,1.2382277224876597,1.0464028570183566,1
9,6721123,K00114.01,FALSE POSITIVE,FALSE POSITIVE,0,1,1,0,-0.4249871713100114,-0.49705196868010837,0.10612828851080455,-0.12113169337466076,-0.31985808373500607,-0.024820193445390683,0.2298637066584337,-0.047181336799963516,-0.30488051338132366,-0.3428650325216095,0.6152076546994569,-0.7405555418552073,0.034671237353362194,1.4165658385891837,-0.4489925583024401,-1.1246553722188568,0
10,10910878,K00757.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.3530737268055652,0.13320736338666106,-0.20478597636508697,-0.3346799523073994,-0.26850148425314013,-0.03452554384256958,-0.6126098829518433,-0.05186159865791815,-0.17438135869844995,-0.3428650325216095,-0.8647475112002062,0.40341553733237384,-0.14801040171957414,-1.084140436049245,1.2802116659183713,1.1366858940560525,1
11,11446443,K00001.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.46538536803842867,-0.6415820324429181,0.008428282269588843,-0.5919070358551641,-0.16627654933182653,-0.03241328821053783,0.2264574792071792,-0.047217941560920275,4.559241218870166,-0.3428650325216095,0.11157742683895285,0.33922477537395135,-0.1289193475461862,-1.124398770571132,1.5415303202752948,-2.064452025477402,1
12,10666592,K00002.01,CONFIRMED,CANDIDATE,0,1,0,0,-0.46758136133084827,-0.6629824450314944,-0.15691018983093,-0.28386083661678313,-0.24918597817958613,-0.03152544449707393,1.0314625668536568,-0.02569065622228192,6.4351379993203,-0.3428650325216095,0.8787782653488116,-0.6649021438327823,0.03368376903404902,0.021915204513821385,1.1673425902589485,-2.686480823965471,1
13,6922244,K00010.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.4566974251995848,-0.6666252246497594,-0.04362271820650041,-0.3829619889047987,-0.2220736085432808,-0.031963563453717876,0.4331019445832849,-0.04402004542184964,1.6306664936401425,-0.3428650325216095,0.612732813284909,-0.32102306191266905,-0.0487698356286006,-2.287898571512927,-0.36578283833899544,-0.4827216521791697,1
14,10984090,K00112.02,CONFIRMED,CANDIDATE,0,0,0,0,-0.4551552651428069,-0.4706564721067022,-0.2050643239612158,-0.4645491113235105,-0.32098383408898623,-0.03586021086280944,0.07544806220156351,-0.048876594791773066,-0.30156661190513856,1.2219512980636034,0.1276638960335144,0.22459841473391362,-0.11937382045949221,0.7388195906338046,1.3134859969446826,-1.045035686012384,1
15,10419211,K00742.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.3906308909412527,0.0908220899928062,0.47187702982407354,-0.3195752142991132,-0.1250977863836056,0.007472945544325661,-0.43889228293786436,-0.051574797813824715,0.35150052383271,-0.3428650325216095,0.0806419091571037,0.5615999150156263,-0.14801040171957414,1.0404715121793422,1.0639607412023273,0.8743674636079415,0
16,10464078,K00743.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.32552621324638464,0.11587568409562185,0.004531415923785395,0.9117193794638083,-0.22456430377089767,-0.03411353793632163,-0.7000363875340418,-0.051944594869393006,-0.1140454973389427,-0.3428650325216095,-0.8498984627129186,0.6464234218892544,-0.17565951466034285,-0.6080778846926692,1.0744950660237005,0.8850308144391659,0
17,10480982,K00744.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.32703395755082837,0.29972037028730536,0.07718013851340728,-0.15323213326546453,0.49263851896806987,-0.02189553180103902,-0.5013397862108633,-0.05170132572886793,2.2883045279658325,-0.3428650325216095,0.4790913768993207,0.4286333366731825,-0.13171717445090683,0.7737708477081224,1.0897837001617068,0.7812408663485848,0
18,10485250,K00745.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,-0.34976012854800703,0.2438048063298587,-0.13798255329417028,0.5128939919579466,-0.20744434005437515,-0.03389302773297766,-0.6182869287039341,-0.05186884335019084,-0.012685821153558352,-0.3428650325216095,-0.7150196056200563,0.4767764081419983,-0.15821424101914353,1.056171440657099,1.083769205777564,1.0990087211190616,0
19,10526549,K00746.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.4091969089734852,0.12766544405242322,-0.1115395316619324,-0.3701732150036765,-0.3082867745409763,-0.03548012090704548,-0.5569748345813533,-0.051791058233157744,-0.2597428898263892,-0.3428650325216095,-1.0812961349731502,0.6280832041868483,-0.1730262658088411,-0.8441290176934405,1.099257035835633,0.7535161541874025,1
20,10583066,K00747.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.43599271293174285,0.1024498954151825,-0.14744637156255014,-0.6150365248832519,-0.301435716831179,-0.03536986580537349,-0.5240479692192266,-0.05173901083867236,-0.2846542871301252,-0.3428650325216095,-1.4760333405935453,0.7770974730188968,-0.17697613908609372,-1.7772641411362806,1.137824088581761,1.0961651608974021,1
21,10583180,K00748.01,FALSE POSITIVE,FALSE POSITIVE,0,1,1,1,-0.4635207476629191,0.08926823441926594,-0.20701275713411751,-0.32345190561302695,-0.31805644427961094,-0.03573834996096145,-0.08350921885697932,-0.05011658106918302,-0.30430915105784345,-0.3428650325216095,-0.9167191809057128,0.44697355437558656,-0.15278316526292113,-1.7657584478136772,1.1214405714298563,0.73005678235871,0
22,10601284,K00749.01,CONFIRMED,CANDIDATE,0,0,0,0,-0.4416070379357475,0.10555737804960948,-0.19365207251993422,-0.4074612421971359,-0.3133043733409287,-0.035456909306693485,-0.2504143639684493,-0.05098308439495612,-0.2901393654355349,-0.3428650325216095,-0.6741847222800155,0.3002518127563396,-0.1378065624200047,0.049072350229464407,1.1427467559563558,0.8345576205047057,1
23,10601284,K00749.02,CONFIRMED,CANDIDATE,0,0,0,0,-0.45324042073184756,-0.4386122950874742,-0.15635349463867237,-0.4691149922043423,-0.31843608328787326,-0.03570353256043345,-0.13800885807705116,-0.050448248165421365,-0.3263637367441785,1.2219512980636034,-0.6741847222800155,0.3002518127563396,-0.1378065624200047,0.049072350229464407,1.1427467559563558,0.8345576205047057,1
24,10601284,K00749.03,CONFIRMED,CANDIDATE,0,0,0,0,-0.4188152620936793,-0.4886340195608015,-0.2123013614605651,-0.32587842721321736,-0.32003693101346486,-0.03581959056219344,-0.3855280528682107,-0.051440389707186646,-0.3432760615191919,2.7867676286488163,-0.6741847222800155,0.3002518127563396,-0.1378065624200047,0.049072350229464407,1.1427467559563558,0.8345576205047057,1
25,2306756,K00113.01,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,2.7073193584973017,0.022304718943823496,0.05254637625600678,0.13497402131526445,-0.04891762354068052,-0.02415576138531476,-0.9566388555285467,-0.05204532151195629,0.7764798200372697,-0.3428650325216095,-0.23118810907593568,-0.5227654566391343,-0.027539266763367456,0.02749206191107038,-1.6936228414745367,-1.3137521269592296,0
